max_depth,criterion,min_samples_split,min_samples_leaf,auc
4,gini,2,1,0.8294892660621562
4,gini,2,2,0.8294892660621562
4,gini,5,1,0.8294892660621562
4,gini,5,2,0.8294892660621562
4,entropy,2,1,0.8284933736340385
4,entropy,2,2,0.8284933736340385
4,entropy,5,1,0.8284933736340385
4,entropy,5,2,0.8284933736340385
6,gini,2,1,0.834482936784727
6,gini,2,2,0.8348807770802656
6,gini,5,1,0.834482936784727
6,gini,5,2,0.8348807770802656
6,entropy,2,1,0.8324110671936759
6,entropy,2,2,0.8321527293394302
6,entropy,5,1,0.8324110671936759
6,entropy,5,2,0.8321527293394302
8,gini,2,1,0.7976000413340567
8,gini,2,2,0.7967139424939937
8,gini,5,1,0.7980572993360717
8,gini,5,2,0.7949934123847168
8,entropy,2,1,0.7905280425740784
8,entropy,2,2,0.7944728616084114
8,entropy,5,1,0.7894766075072981
8,entropy,5,2,0.7944728616084114
10,gini,2,1,0.7482458859696711
10,gini,2,2,0.7615360768813455
10,gini,5,1,0.7533751840657212
10,gini,5,2,0.7615942028985507
10,entropy,2,1,0.7570758738277921
10,entropy,2,2,0.7575215066263659
10,entropy,5,1,0.7603838900514093
10,entropy,5,2,0.7616122865483479
